mesh|meddra
D051437|TEST
D054198|10065923
D054198|10000845
D054198|10000848
D054198|10025305
D054198|10060555
D054198|10024338
D003924|10026947
D003924|10012612
D003924|10012611
D003924|10012613
D003924|10067585
D003924|10029505
D003924|10045242
D003924|10029402
D020936|10067866
D006948|10020651
D006948|10004208
D006948|10020550
D006948|10020558
D006948|10004205
D006948|10020653
D006948|10020554
D029593|10057936
D009422|10013242
D009422|10029203
D009422|10029205
D009422|10029202
D009422|10029298
D009422|10045843
D009422|10029286
D029597|10039211
D019969|10068729
D019969|10012339
D002277|10015105
D002277|10007506
D002277|10007423
D002277|10007284
D008175|10025044
D008175|10025056
D008175|10062042
D008175|10049790
D008175|10006880
D008175|10007096
D008175|10058467
D008223|10025310
D008223|10025633
D008223|10025316
D008223|10025632
D008223|10025315
D029424|10010952
D029424|10070975
D029424|10008828
D029424|10029972
D029424|10009032
D029424|10009025
D029424|10009033
D029424|10009725
D029424|10009026
D011656|10067808
D011656|10014563
D011656|10014561
D058186|10069339
D058186|10023419
D058186|10001041
D058186|10000821
D058186|10038436
D058186|10038526
D058186|10016150
D058186|10050440
D058186|10001051
D002289|10061873
D002289|10029514
D002318|10048496
D002318|10007650
D002318|10007649
D002318|10013200
D002318|10007648
D018450|10015576
D018450|10061818
D018450|10049830
D018450|10010264
D056486|10013762
D056486|10019766
D056486|10013705
D056486|10019795
D004827|10015037
D004827|10015046
D004827|10015051
D004827|10015052
D004827|10015042
D004827|10003791
D004827|10051375
D007024|10031127
D007024|10021104
D007024|10036433
D007024|10021100
D007676|10014647
D007676|10064848
D007676|10038444
D007676|10023420
D007676|10014646
D007676|10009119
D009325|10028813
D009325|10028823
D009325|10037730
D009325|10028822
D009325|10016361
D010149|10054711
D010149|10036286
D000505|10001760
D000505|10004082
D000505|10019050
D000505|10068168
D000505|10001768
D000505|10001769
D000505|10068558
D000505|10019045
D000505|10025514
D006973|10020772
D006973|10019180
D006973|10020424
D006973|10020775
D006973|10005747
D006973|10020782
D007938|10024314
D007938|10024288
D007938|10024352
D007938|10045994
D007938|10024329
D007938|10060430
D007938|10024351
D007938|10024323
D007938|10024324
D007938|10024312
D007938|10060500
D007938|10045992
D007938|10045991
D011471|10060862
D011471|10007113
D011471|10036908
D011471|10036946
D011471|10036965
D011471|10006890
D011471|10036910
D011471|10029002
D011471|10036927
D011471|10029096
D011471|10026389
D006528|10019838
D006528|10048491
D006528|10007416
D006528|10024658
D006528|10049010
C535575|10060121
D002543|10019551
D002543|10022754
D002543|10022737
D002543|10019531
D002543|10022753
D002543|10008114
D002543|10018972
D002543|10055293
D002543|10022751
D002543|10055815
D002543|10008111
D015179|10061451
D015179|10010036
D015179|10059140
D015179|10010029
D017449|10056265
D004487|10016808
D004487|10018112
D004487|10014223
D004487|10014210
D004487|10030095
D004487|10018092
D004487|10030102
D004487|10030103
D004487|10002241
D004487|10030114
D004487|10014211
D004487|10014234
D004938|10015362
D004938|10026180
D004938|10030151
D004938|10030152
D004938|10026181
D004938|10006887
D004938|10025901
D004938|10025899
D004938|10015363
D004938|10025900
D004938|10030176
D004938|10006877
D004938|10061882
D004938|10015386
D004938|10030175
D004938|10026182
D008545|10027150
D008545|10053571
D008545|10025650
D012163|10012542
D012163|10046144
D012163|10038848
D012163|10012533
D012163|10064854
D013226|10057770
D013226|10041963
D013226|10034760
D013226|10018664
D013226|10041964
D013226|10057769
D013226|10041962
D013226|10057955
D001284|10003694
D001284|10003704
D001930|10060690
D001930|10056380
D001930|10067967
D001930|10049561
D001930|10006117
D001930|10052346
D001930|10063996
D001930|10056389
D001932|10061019
D001932|10004306
D001932|10025783
D001932|10006153
D001932|10006154
D001932|10006131
D001932|10025785
D001932|10025539
D001932|10006129
D001932|10061030
D001932|10006155
D001932|10006132
D001932|10004241
D001932|10006156
D001932|10029088
D001932|10006130
D001943|10006317
D001943|10006203
D001943|10006315
D001943|10028985
D001943|10006187
D001943|10006285
D001943|10006279
D001943|10006860
D001943|10006192
D001943|10025541
D002294|10014987
D002294|10007349
D002294|10007473
D002294|10041823
D020256|10060823
D020256|10060837
D016510|10011031
D016510|10011032
