drugbankid	drugbankName	pubchemSubstanceId	pubchemCompoundId
DB00001	Lepirudin
DB00002	Cetuximab
DB00003	Dornase alfa
DB00004	Denileukin diftitox
DB00005	Etanercept
DB00006	Bivalirudin
DB00007	Leuprolide
DB00008	Peginterferon alfa-2a
DB00009	Alteplase
DB00010	Sermorelin
DB00011	Interferon alfa-n1
DB00012	Darbepoetin alfa
DB00013	Urokinase
DB00014	Goserelin
DB00015	Reteplase
DB00016	Epoetin alfa
DB00017	Salmon Calcitonin
DB00018	Interferon alfa-n3
DB00019	Pegfilgrastim
DB00020	Sargramostim
DB00021	Secretin
DB00022	Peginterferon alfa-2b
DB00023	Asparaginase
DB00024	Thyrotropin Alfa
DB00025	Antihemophilic Factor
DB00026	Anakinra
DB00027	Gramicidin D
DB00028	Intravenous Immunoglobulin
DB00029	Anistreplase
DB00030	Insulin Regular
DB00031	Tenecteplase
DB00032	Menotropins
DB00033	Interferon gamma-1b
DB00034	Interferon Alfa-2a, Recombinant
DB00035	Desmopressin
DB00036	Coagulation factor VIIa
DB00038	Oprelvekin
DB00039	Palifermin
DB00040	Glucagon recombinant
DB00041	Aldesleukin
DB00042	Botulinum Toxin Type B
DB00043	Omalizumab
DB00044	Lutropin alfa
DB00045	OspA lipoprotein
DB00046	Insulin Lispro
DB00047	Insulin Glargine
DB00048	Collagenase
DB00049	Rasburicase
DB00050	Cetrorelix
DB00051	Adalimumab
DB00052	Somatropin recombinant
DB00053	Imiglucerase
DB00054	Abciximab
DB00055	Drotrecogin alfa
DB00056	Gemtuzumab ozogamicin
DB00057	Satumomab Pendetide
DB00058	Alpha-1-proteinase inhibitor
DB00059	Pegaspargase
DB00060	Interferon beta-1a
DB00061	Pegademase bovine
DB00062	Human Serum Albumin
DB00063	Eptifibatide
DB00064	Serum albumin iodonated
DB00065	Infliximab
DB00066	Follitropin beta
DB00067	Vasopressin
DB00068	Interferon beta-1b
DB00069	Interferon alfacon-1
DB00070	Hyaluronidase
DB00071	Insulin, porcine
DB00072	Trastuzumab
DB00073	Rituximab
DB00074	Basiliximab
DB00075	Muromonab
DB00076	Digoxin Immune Fab (Ovine)
DB00078	Ibritumomab
DB00080	Daptomycin
DB00081	Tositumomab
DB00082	Pegvisomant
DB00083	Botulinum Toxin Type A
DB00085	Pancrelipase
DB00086	Streptokinase
DB00087	Alemtuzumab
DB00088	Alglucerase
DB00089	Capromab
DB00090	Laronidase
DB00091	Cyclosporine
DB00092	Alefacept
DB00093	Felypressin
DB00094	Urofollitropin
DB00095	Efalizumab
DB00096	Serum albumin
DB00097	Choriogonadotropin alfa
DB00098	Antithymocyte globulin
DB00099	Filgrastim
DB00100	Coagulation Factor IX
DB00102	Becaplermin
DB00103	Agalsidase beta
DB00104	Octreotide
DB00105	Interferon Alfa-2b, Recombinant
DB00106	Abarelix
DB00107	Oxytocin
DB00108	Natalizumab
DB00109	Enfuvirtide
DB00110	Palivizumab
DB00111	Daclizumab
DB00112	Bevacizumab
DB00113	Arcitumomab
DB00114	Pyridoxal Phosphate	46506428	1051
DB00115	Cyanocobalamin	46509031	44176380
DB00116	Tetrahydrofolic acid	46504756	91443
DB00117	L-Histidine	46507001	6274
DB00118	S-Adenosylmethionine	46505280	34756
DB00119	Pyruvic acid	46505692	1060
DB00120	L-Phenylalanine	46505708	6140
DB00121	Biotin	46508694	171548
DB00122	Choline
DB00123	L-Lysine
DB00125	L-Arginine
DB00126	Vitamin C
DB00127	Spermine	46507215	1103
DB00128	L-Aspartic Acid	46507997	5960
DB00129	L-Ornithine
DB00130	L-Glutamine
DB00131	Adenosine monophosphate	46507628	6083
DB00132	Alpha-Linolenic Acid	46507620	5280934
DB00133	L-Serine
DB00134	L-Methionine	46505750	6137
DB00135	L-Tyrosine	46507885	6057
DB00136	Calcitriol
DB00137	Xanthophyll	46508835	5368396
DB00138	L-Cystine
DB00139	Succinic acid	46505859	1110
DB00140	Riboflavin	46507342	493570
DB00141	N-Acetyl-D-glucosamine
DB00142	L-Glutamic Acid	46505816	33032
DB00143	Glutathione	46504598	124886
DB00144	Phosphatidylserine	46505650	6323481
DB00145	Glycine	46508219	750
DB00146	Calcidiol
DB00147	Pyridoxal	46506282	1050
DB00148	Creatine	46504868	586
DB00149	L-Leucine
DB00150	L-Tryptophan	46508329	6305
DB00151	L-Cysteine
DB00152	Thiamine	46507321	1130
DB00153	Ergocalciferol	46505053	5280793
DB00154	Dihomo-γ-linolenic acid	46508866	5280581
DB00155	L-Citrulline	46506583	9750
DB00156	L-Threonine
DB00157	NADH	46504879	439153
DB00158	Folic Acid	46508092	6037
DB00159	Icosapent
DB00160	L-Alanine
DB00161	L-Valine
DB00162	Vitamin A
DB00163	Vitamin E	46506524	14985
DB00165	Pyridoxine
DB00166	Lipoic Acid
DB00167	L-Isoleucine	46506864	6306
DB00168	Aspartame
DB00169	Cholecalciferol
DB00170	Menadione	46505447	4055
DB00171	Adenosine triphosphate
DB00172	L-Proline	46506858	145742
DB00173	Adenine	46507319	190
DB00174	L-Asparagine	46507804	6267
DB00175	Pravastatin	46504851	54687
DB00176	Fluvoxamine	46507588	5324346
DB00177	Valsartan	46509000	60846
DB00178	Ramipril	46506390	5362129
DB00179	Masoprocol	46508042	71398
DB00180	Flunisolide	46507894	82153
DB00181	Baclofen	46508181	2284
DB00182	Amphetamine
DB00183	Pentagastrin	46507747	444007
DB00184	Nicotine	46506924	942
DB00185	Cevimeline
DB00186	Lorazepam	46508468	3958
DB00187	Esmolol	46506146	59768
DB00188	Bortezomib
DB00189	Ethchlorvynol
DB00190	Carbidopa
DB00191	Phentermine	46508515	4771
DB00192	Indecainide	46506714	52195
DB00193	Tramadol	46506256	33741
DB00194	Vidarabine	46506630	32326
DB00195	Betaxolol	46506041	2369
DB00196	Fluconazole	46505735	3365
DB00197	Troglitazone	46504655	5591
DB00198	Oseltamivir	46507602	65028
DB00199	Erythromycin	46508487	12560
DB00200	Hydroxocobalamin
DB00201	Caffeine	46506408	2519
DB00202	Succinylcholine	46506023	5314
DB00203	Sildenafil	46508371	5212
DB00204	Dofetilide	46509127	71329
DB00205	Pyrimethamine	46505987	4993
DB00206	Reserpine	46505863	5770
DB00207	Azithromycin
DB00208	Ticlopidine	46504438	5472
DB00209	Trospium	46506398	5596
DB00210	Adapalene	46505019	60164
DB00211	Midodrine	46507373	4195
DB00212	Remikiren	46507286	5462340
DB00213	Pantoprazole	46504622	4679
DB00214	Torasemide	46504760	41781
DB00215	Citalopram	46508746	2771
DB00216	Eletriptan	46506380	77993
DB00217	Bethanidine
DB00218	Moxifloxacin	46508509	152946
DB00219	Oxyphenonium	46508840	5749
DB00220	Nelfinavir	46507719	64143
DB00221	Isoetarine	46505384	3762
DB00222	Glimepiride	46508842	3476
DB00223	Diflorasone
DB00224	Indinavir	46506442	5362440
DB00225	Gadodiamide	46504789	60754
DB00226	Guanadrel	46506457	38521
DB00227	Lovastatin	46508223	53232
DB00228	Enflurane	46505314	3226
DB00229	Cefotiam	46506679	43708
DB00230	Pregabalin	46504934	5486971
DB00231	Temazepam	46506604	5391
DB00232	Methyclothiazide	46509197	4121
DB00233	Aminosalicylic Acid	46505572	4649
DB00234	Reboxetine	46504845	65856
DB00235	Milrinone	46507838	4197
DB00236	Pipobroman	46506548	4842
DB00237	Butabarbital	46505051	2479
DB00238	Nevirapine	46506789	4463
DB00239	Oxiconazole	46504752	5361463
DB00240	Alclometasone
DB00241	Butalbital	46505876	2481
DB00242	Cladribine	46504588	20279
DB00243	Ranolazine	46505145	56959
DB00244	Mesalazine	46509142	4075
DB00245	Benzatropine
DB00246	Ziprasidone	46507627	60854
DB00247	Methysergide
DB00248	Cabergoline	46508571	54746
DB00249	Idoxuridine	46507573	5905
DB00250	Dapsone	46505300	2955
DB00251	Terconazole	46505257	441383
DB00252	Phenytoin	46508847	1775
DB00253	Medrysone	46506584	247839
DB00254	Doxycycline	46506491	5281011
DB00255	Diethylstilbestrol	46507453	448537
DB00256	Lymecycline	46505518	24757945
DB00257	Clotrimazole	46507927	2812
DB00258	Calcium Acetate	46507985	6116
DB00259	Sulfanilamide	46508306	5333
DB00260	Cycloserine
DB00261	Anagrelide
DB00262	Carmustine	46506980	2578
DB00263	Sulfisoxazole	46505342	5344
DB00264	Metoprolol	46506211	4171
DB00265	Crotamiton	46508599	688020
DB00266	Dicoumarol
DB00267	Cefmenoxime
DB00268	Ropinirole	46507918	5095
DB00269	Chlorotrianisene	46508811	11289
DB00270	Isradipine	46505034	3784
DB00271	Diatrizoate	46504704	2140
DB00272	Betazole	46506808	7741
DB00273	Topiramate	46508334	5284627
DB00274	Cefmetazole	46504461	42008
DB00275	Olmesartan
DB00276	Amsacrine	46507539	2179
DB00277	Theophylline	46505949	2153
DB00278	Argatroban	46507650	152951
DB00279	Liothyronine	46506352	5920
DB00280	Disopyramide
DB00281	Lidocaine	46505060	3676
DB00282	Pamidronate	46504823	4674
DB00283	Clemastine	46506492	26987
DB00284	Acarbose	46508248	441184
DB00285	Venlafaxine	46504593	5656
DB00286	Conjugated Estrogens	46505680	23667301
DB00287	Travoprost	46507637	5282226
DB00288	Amcinonide	46506705	443958
DB00289	Atomoxetine	46506160	54841
DB00290	Bleomycin	46509116	5360373
DB00291	Chlorambucil	46506842	2708
DB00292	Etomidate
DB00293	Raltitrexed	46504880	104758
DB00294	Etonogestrel
DB00295	Morphine	46505161	5288826
DB00296	Ropivacaine
DB00297	Bupivacaine	46506768	2474
DB00298	Dapiprazole	46508859	3033538
DB00299	Penciclovir	46506498	4725
DB00300	Tenofovir	46508131	464205
DB00301	Flucloxacillin	46508276	21319
DB00302	Tranexamic Acid
DB00303	Ertapenem	46506508	150610
DB00304	Desogestrel	46505739	40973
DB00305	Mitomycin	46508353	5746
DB00306	Talbutal
DB00307	Bexarotene	46509119	82146
DB00308	Ibutilide	46507904	60753
DB00309	Vindesine	46504548	40839
DB00310	Chlorthalidone	46505541	2732
DB00311	Ethoxzolamide	46509023	3295
DB00312	Pentobarbital	46508399	4737
DB00313	Valproic Acid	46505925	3121
DB00314	Capreomycin	46508514	3000502
DB00315	Zolmitriptan
DB00316	Acetaminophen	46506142	1983
DB00317	Gefitinib	46508649	123631
DB00318	Codeine	46507764	5284371
DB00319	Piperacillin
DB00320	Dihydroergotamine	46507711	10531
DB00321	Amitriptyline	46508798	2160
DB00322	Floxuridine	46508645	5790
DB00323	Tolcapone	46504932	4659569
DB00324	Fluorometholone	46505984	9878
DB00325	Nitroprusside	46508965	11963622
DB00326	Calcium Gluceptate	46507233	62859
DB00327	Hydromorphone	46508700	5284570
DB00328	Indomethacin	46508291	3715
DB00330	Ethambutol
DB00331	Metformin	46507752	4091
DB00332	Ipratropium bromide
DB00333	Methadone	46505722	4095
DB00334	Olanzapine
DB00335	Atenolol	46506915	2249
DB00336	Nitrofural	46506509	5447130
DB00337	Pimecrolimus	46505748	17753757
DB00338	Omeprazole	46509065	4594
DB00339	Pyrazinamide	46507478	1046
DB00340	Metixene	46508970	4167
DB00341	Cetirizine	46508368	2678
DB00342	Terfenadine	46507007	5405
DB00343	Diltiazem	46505667	39186
DB00344	Protriptyline	46505128	4976
DB00345	Aminohippurate	46507106	2148
DB00346	Alfuzosin	46508512	2092
DB00347	Trimethadione	46504478	5576
DB00348	Nitisinone	46507380	115355
DB00349	Clobazam	46506115	2789
DB00350	Minoxidil	46508344	4201
DB00351	Megestrol acetate
DB00352	Thioguanine	46508170	2723601
DB00353	Methylergometrine	46507746	8226
DB00354	Buclizine	46507608	6729
DB00355	Aztreonam
DB00356	Chlorzoxazone	46507755	2733
DB00357	Aminoglutethimide	46506066	2145
DB00358	Mefloquine	46505610	4046
DB00359	Sulfadiazine	46506164	5215
DB00360	Tetrahydrobiopterin	46508597	1125
DB00361	Vinorelbine
DB00362	Anidulafungin	46505616	166548
DB00363	Clozapine	46506474	2818
DB00364	Sucralfate
DB00365	Grepafloxacin	46507253	72474
DB00366	Doxylamine	46506354	3162
DB00367	Levonorgestrel	46508082	13109
DB00368	Norepinephrine	46506201	439260
DB00369	Cidofovir	46506054	60613
DB00370	Mirtazapine	46506965	4205
DB00371	Meprobamate	46508142	4064
DB00372	Thiethylperazine	46506502	5440
DB00373	Timolol
DB00374	Treprostinil
DB00375	Colestipol	46505777	62816
DB00376	Trihexyphenidyl	46507717	5572
DB00377	Palonosetron	46508530	148211
DB00378	Dydrogesterone	46506195	9051
DB00379	Mexiletine	46505491	4178
DB00380	Dexrazoxane	46505982	71384
DB00381	Amlodipine	46507214	2162
DB00382	Tacrine	46505487	1935
DB00383	Oxyphencyclimine	46507487	4642
DB00384	Triamterene	46507623	5546
DB00385	Valrubicin	46506642	41744
DB00386	Alseroxylon
DB00387	Procyclidine	46505553	4919
DB00388	Phenylephrine	46506961	6041
DB00389	Carbimazole	46506359	31072
DB00390	Digoxin
DB00391	Sulpiride	46504855	5355
DB00392	Ethopropazine	46507375	3290
DB00393	Nimodipine	46508497	4497
DB00394	Beclomethasone
DB00395	Carisoprodol	46506377	2576
DB00396	Progesterone	46508968	5994
DB00397	Phenylpropanolamine	46508087	26934
DB00398	Sorafenib	46505329	216239
DB00399	Zoledronate	46507310	68740
DB00400	Griseofulvin	46508437	441140
DB00401	Nisoldipine	46504546	4499
DB00402	Eszopiclone	46505809	969472
DB00403	Ceruletide
DB00404	Alprazolam	46507078	2118
DB00405	Dexbrompheniramine	46505186	16960
DB00406	Gentian Violet	46505353	3468
DB00407	Ardeparin	46505194	772
DB00408	Loxapine	46505047	3964
DB00409	Remoxipride	46508689	54477
DB00410	Mupirocin	46505594	446596
DB00411	Carbachol
DB00412	Rosiglitazone
DB00413	Pramipexole
DB00414	Acetohexamide	46505821	1989
DB00415	Ampicillin	46505346	6249
DB00416	Metocurine Iodide	46507773	24244
DB00417	Penicillin V	46507164	6869
DB00418	Secobarbital
DB00419	Miglustat	46506350	51634
DB00420	Promazine	46504504	4926
DB00421	Spironolactone	46508525	5833
DB00422	Methylphenidate	46505929	4158
DB00423	Methocarbamol	46507761	4107
DB00424	Hyoscyamine
DB00425	Zolpidem	46507949	5732
DB00426	Famciclovir	46507561	3324
DB00427	Triprolidine	46505403	5282443
