meddra_concept_id	meddra_concept_name	snomed_concept_id	snomed_concept_name
35305453	18q minus syndrome	4174875	18q partial monosomy syndrome
35305840	21-hydroxylase deficiency	44782857	21-hydroxylase deficiency
35305466	Wolf-Hirschhorn syndrome	4062498	4p partial monosomy syndrome
35305458	Cri du Chat syndrome	440518	5p partial monosomy syndrome
36312605	Amniocentesis abnormal	4060259	A/N amniocentesis - abnormal
35306043	Greig's syndrome	4032940	Aarskog syndrome
35104099	Aase syndrome	4217370	Aase syndrome
35707936	Abdominal abscess	4326255	Abdominal abscess
35708342	Intestinal angina	4345926	Abdominal angina
36312015	Abdominal bruit	4092884	Abdominal bruit
35707749	Abdominal compartment syndrome	443527	Abdominal compartment syndrome
35708164	Abdominal discomfort	4183041	Abdominal discomfort
35708151	Abdominal distension	4218984	Abdominal distension
36517008	Desmoid tumour	4163230	Abdominal fibromatosis
35708136	Abdominal mass	192438	Abdominal mass
43053783	Abdominal migraine	4294246	Abdominal migraine
35708154	Abdominal pain	200219	Abdominal pain
35708158	Abdominal rigidity	200215	Abdominal rigidity
35708159	Abdominal tenderness	197981	Abdominal tenderness
42889259	Varicose veins of abdominal wall	4298840	Abdominal varicosities
35607296	VIth nerve disorder	4162701	Abducens nerve disorder
35607297	VIth nerve paralysis	381572	Abducens nerve palsy
36312786	Anal pap smear abnormal	443698	Abnormal anal Papanicolaou smear
36312361	Androgens abnormal	4038809	Abnormal androgen
35506688	Antidiuretic hormone abnormality	4305071	Abnormal anti-diuretic hormone
36312064	Blood pressure abnormal	4305577	Abnormal blood pressure
36516727	Bone development abnormal	4263759	Abnormal bone formation
35708138	Gastrointestinal sounds abnormal	197377	Abnormal bowel sounds
36315049	Brain stem auditory evoked response abnormal	4012119	Abnormal brain stem auditory evoked potential
36315274	Breath sounds abnormal	73026	Abnormal breath sounds
37219932	Respiration abnormal	4305080	Abnormal breathing
36311981	Heart rate abnormal	4262984	Abnormal cardiac rate
36311810	Cardiovascular function test abnormal	138255	Abnormal cardiovascular function
36311813	Central venous pressure abnormal	4320950	Abnormal central venous pressure
36315910	Smear cervix abnormal	434165	Abnormal cervical smear
35306274	Dermatoglyphic anomaly	141404	Abnormal dermatoglyphic pattern
36312072	Blood pressure diastolic abnormal	4177952	Abnormal diastolic arterial pressure
37119647	Ejaculation disorder	4297368	Abnormal ejaculation
36315148	Electronystagmogram abnormal	4236827	Abnormal electronystagmogram
36312212	Epinephrine abnormal	4035821	Abnormal epinephrine
35104705	Erythropoiesis abnormal	4219911	Abnormal erythrocyte production
36312398	Oestradiol abnormal	4038811	Abnormal estradiol
36312403	Oestriol abnormal	4038812	Abnormal estriol
35708142	Abnormal faeces	437671	Abnormal feces
36311975	Femoral pulse abnormal	4174356	Abnormal femoral pulse
36312616	Foetal heart rate abnormal	314099	Abnormal fetal heart rate
36818665	Foetal malpresentation	4032626	Abnormal fetal presentation
36313042	Fibrinolysis abnormal	4146749	Abnormal fibrinolysis
36311987	Pedal pulse abnormal	4287253	Abnormal foot pulse
35809104	Gait disturbance	437643	Abnormal gait
36314178	Glucose tolerance test abnormal	440216	Abnormal glucose tolerance test
37320312	Hair growth abnormal	4309771	Abnormal hair growth
35707661	Dental pulp disorder	433514	Abnormal hard tissue formation in pulp
36313888	Histology abnormal	434492	Abnormal histology findings
45885735	Abnormal involuntary movement scale	4167594	Abnormal involuntary movement scale
36311854	Venous pressure jugular abnormal	4268902	Abnormal jugular venous pressure
35909508	Hepatic function abnormal	4326594	Abnormal liver function
36312222	Norepinephrine abnormal	4036163	Abnormal norepinephrine
36312351	Oxytocin abnormal	4035820	Abnormal oxytocin
37320237	Pigmentation disorder	4083855	Abnormal pigment
36313147	Plasma viscosity abnormal	4168839	Abnormal plasma viscosity
36311990	Popliteal pulse abnormal	4233505	Abnormal popliteal pulse
36516975	Posture abnormal	439935	Abnormal posture
36818620	Abnormal product of conception	436477	Abnormal products of conception
36312426	Progesterone abnormal	4036169	Abnormal progesterone
36312004	Radial pulse abnormal	4190324	Abnormal radial pulse
36313924	Radioisotope scan abnormal	4031225	Abnormal radionuclide scan
36718570	Rapid eye movements sleep abnormal	4287868	Abnormal rapid eye movement sleep
36718279	Reflexes abnormal	378256	Abnormal reflex
36315092	Nerve stimulation test abnormal	443702	Abnormal response to nerve stimulation
36919202	Sexual dysfunction	4237140	Abnormal sexual function
37119663	Spermatogenesis abnormal	4166064	Abnormal spermatogenesis
36316074	Sputum abnormal	433596	Abnormal sputum
36312085	Blood pressure systolic abnormal	4084684	Abnormal systolic arterial pressure
36315697	Urine analysis abnormal	4042234	Abnormal urinalysis
37019444	Urine odour abnormal	4226987	Abnormal urine odor
36312116	Venous pressure abnormal	4009468	Abnormal venous pressure
36315129	Visual evoked potentials abnormal	253328	Abnormal visual evoked potential
36315379	Weight abnormal	4330994	Abnormal weight
36416524	Abnormal weight gain	439141	Abnormal weight gain
36818693	Abnormal labour	437342	Abnormality of forces of labor
36818700	Uterine contractions abnormal	437342	Abnormality of forces of labor
35104715	Red blood cell abnormality	4044812	Abnormality of red blood cells
35506546	Gastrin secretion disorder	194001	Abnormality of secretion of gastrin
