rxcui	conceptId	drugBank
6826	904250	DB00703
632	1389036	DB00305
10402	1037005	DB00470
3521	1331270	DB00975
3288	719311	DB01576
8597	19049909	DB06715
298665	909795	DB06802
8328	945286	DB01085
711942	19012346	DB06210
591622	780442	DB01273
84857	1348265	DB01217
6922	1707164	DB00916
2599	43081542	DB00575
27100	19069046	DB04865
10767	704599	DB00897
8113	19033710	DB03783
59763	1781406	DB00649
11476	19011064	DB01133
24457	19059477	DB03994
1547099	45775760	DB09034
8339	1746114	DB00319
6379	19124330	DB02239
3418	1126557	DB00320
1366667	43013169	DB04161
11118	19010963	DB00313
290	19071966	DB00173
700810	709567	DB01255
720825	19012925	DB06207
6719	701322	DB01043
593411	1580747	DB01261
1536070	44818494	DB07776
237027	992127	DB00873
4496	756018	DB00623
1433212	43560354	DB08918
3443	43084101	DB00343
258494	1398399	DB00990
3100	43083721	DB00970
7617	1522957	DB00104
4440	954853	DB01148
89778	958368	DB01057
69722	1708748	DB00558
33290	923540	DB03255
6646	794147	DB00934
85762	1748921	DB00503
29046	1308216	DB00722
7476	19020994	DB00325
3339	923840	DB00527
6854	905223	DB00553
190548	1736999	DB00932
10109	1836191	DB01082
343048	1327256	DB00374
3755	1741008	DB00974
10437	19137056	DB01412
616739	786426	DB05271
8638	1550557	DB00860
6398	1790692	DB01627
1483262	44785064	DB03566
6980	1708880	DB01017
2551	1797513	DB00537
719872	1712889	DB06817
1426451	43532433	DB01759
1314303	42903792	DB02159
306674	1311276	DB00862
20178	19025825	DB04519
1116632	40241186	DB08816
401713	19102150	DB06775
1827	733301	DB00490
1362871	43012214	DB00141
6756	19002664	DB01365
1091836	40236897	DB01656
619693	40167569	DB06614
6466	1391846	DB01206
9143	961047	DB00863
10635	1502855	DB01124
402316	19045272	DB00419
7417	1318853	DB01115
1148495	40242675	DB08700
5033	1366237	DB00629
6984	1309068	DB00350
7405	19018419	DB02701
7773	1724703	DB00713
75207	1321636	DB00559
38413	942350	DB00214
321988	715939	DB01175
20259	19026310	DB00429
61805	1586640	DB00348
1310579	42898190	DB02145
1998	1340128	DB01197
41493	1150345	DB00814
1423925	43526994	DB08690
135391	915855	DB00768
4778	959362	DB00406
47461	958396	DB01091
8591	19049105	DB00761
10800	704984	DB00831
37418	1140643	DB00669
7895	1326901	DB01113
816346	19039926	DB05351
9384	1763204	DB01045
1485787	44785506	DB04066
68446	1304919	DB00642
7455	920378	DB00336
4537	956630	DB01942
8076	733008	DB00850
1148138	40242044	DB06196
3648	43084328	DB00450
1111103	40239985	DB08874
6011	781705	DB01247
326374	1518198	DB06713
7833	1726228	DB00233
519	43117100	DB00437
6468	991876	DB00836
229367	1789515	DB01369
43611	954688	DB00654
36108	1137460	DB01399
9260	1362225	DB00206
42372	951511	DB00410
7052	1110410	DB00295
2192	1777254	DB01332
35619	1735947	DB01220
8700	1351461	DB01035
1000492	40225716	DB02709
