concept_id|concept_code
35100000|10005329
35102033|10002086
35102034|10064477
35102035|10018849
35102036|10018865
35102037|10018902
35102038|10018911
35102039|10024324
35102040|10025319
35102041|10025323
35102042|10025320
35102043|10025321
35102044|10025322
35102045|10035227
35102046|10035534
35102047|10038158
35102048|10041641
35102049|10047954
35102366|10002042
35102367|10002067
35102368|10052827
35102369|10026847
35102370|10005133
35102371|10009737
35102372|10053567
35102373|10037550
35102374|10018847
35102375|10018845
35102376|10068203
35102377|10020118
35102378|10025353
35102379|10028578
35102380|10018904
35102381|10040651
35102382|10043389
35102383|10002055
35102384|10002052
35102385|10002053
35102386|10002054
35102387|10018913
35102388|10038185
35102389|10024310
35102390|10024292
35102391|10024290
35102392|10024291
35102393|10024297
35102394|10024298
35102395|10024295
35102396|10024296
35102397|10024303
35102398|10024309
35102399|10028536
35102400|10020243
35102401|10020214
35102402|10020226
35102403|10057170
35102404|10057172
35102405|10025634
35102406|10025324
35102407|10003900
35102408|10003909
35102409|10003921
35102410|10006596
35102411|10012819
35102412|10015821
35102413|10016895
35102414|10016903
35102415|10020068
35102416|10025343
35102417|10026798
35102418|10029461
35102419|10036524
35102420|10036711
35102421|10041650
35102422|10047802
35102423|10001414
35102424|10002235
35102425|10002412
35102426|10002450
35102427|10022704
35102428|10028484
35102429|10034622
35102430|10036544
35102431|10042988
35102432|10029592
35102433|10029606
35102434|10029608
35102435|10029621
35102436|10028229
35102437|10035228
35102438|10035533
35102439|10043564
35102440|10043555
35102441|10036052
35102442|10038144
35102443|10057180
35102444|10025198
35102445|10038798
35102446|10041635
35102447|10043677
35102448|10052828
35102449|10024379
35102450|10024385
35102451|10029355
35102452|10047936
35104065|10002043
35104066|10066468
35104067|10002080
35104068|10002081
35104069|10061101
35104070|10022972
35104071|10034695
35104072|10037006
35104073|10042272
35104074|10002034
35104075|10002064
35104076|10002065
35104077|10002068
35104078|10048861
35104079|10051899
35104080|10003965
35104081|10005644
35104082|10010329
35104083|10010538
35104084|10068819
35104085|10052293
35104086|10019902
35104087|10020605
35104088|10020969
35104089|10053199
35104090|10025487
35104091|10027538
35104092|10029783
35104093|10035500
35104094|10040661
35104095|10044697
35104096|10002073
35104097|10049105
35104098|10058116
35104099|10063429
35104100|10002965
35104101|10002967
35104102|10058956
35104103|10065553
35104104|10051779
