id|drug|RxNorm_Preferred_term|HOI|MedDRA_Preferred_Term
1308216-36617553|1308216|Lisinopril|36617553|Uterine leiomyoma
1308216-35205025|1308216|Lisinopril|35205025|Dizziness
1308216-35607082|1308216|Lisinopril|35607082|Blepharitis
1308216-36110649|1308216|Lisinopril|36110649|Septic shock
1308216-35708603|1308216|Lisinopril|35708603|Pharyngitis
1308216-35406368|1308216|Lisinopril|35406368|Hearing impaired
1308216-36919212|1308216|Lisinopril|36919212|Sleep disorder due to general medical condition, insomnia type
1308216-35104405|1308216|Lisinopril|35104405|Hodgkin's disease
1308216-36516872|1308216|Lisinopril|36516872|Torticollis
1308216-35809130|1308216|Lisinopril|35809130|Flushing
1308216-35707732|1308216|Lisinopril|35707732|Pancreatic disorder
1308216-36110700|1308216|Lisinopril|36110700|Pharyngeal abscess
1308216-36313476|1308216|Lisinopril|36313476|White blood cell count decreased
1308216-36818660|1308216|Lisinopril|36818660|Breech presentation
1308216-37320098|1308216|Lisinopril|37320098|Actinic keratosis
1308216-35205384|1308216|Lisinopril|35205384|Dressler's syndrome
1308216-35204982|1308216|Lisinopril|35204982|Ventricular flutter
1308216-35707651|1308216|Lisinopril|35707651|Tooth fracture
1308216-35205189|1308216|Lisinopril|35205189|Myocardial infarction
1308216-35708128|1308216|Lisinopril|35708128|Irritable bowel syndrome
1308216-36110253|1308216|Lisinopril|36110253|Pharyngitis streptococcal
1308216-36416593|1308216|Lisinopril|36416593|Hyperkalaemia
1308216-35104161|1308216|Lisinopril|35104161|Coagulopathy
1308216-35506542|1308216|Lisinopril|35506542|Endocrine disorder
1308216-35606964|1308216|Lisinopril|35606964|Eye pain
1308216-35708567|1308216|Lisinopril|35708567|Oral disorder
1308216-35708044|1308216|Lisinopril|35708044|Colitis ulcerative
1308216-36110837|1308216|Lisinopril|36110837|Human ehrlichiosis
1308216-35104113|1308216|Lisinopril|35104113|Pancytopenia
1308216-35708083|1308216|Lisinopril|35708083|Oesophagitis
1308216-35708176|1308216|Lisinopril|35708176|Hiccups
1308216-35205064|1308216|Lisinopril|35205064|Aortic valve incompetence
1308216-35707869|1308216|Lisinopril|35707869|Melaena
1308216-35909435|1308216|Lisinopril|35909435|Biliary tract disorder
1308216-35708050|1308216|Lisinopril|35708050|Gastritis
1308216-35104323|1308216|Lisinopril|35104323|Leukaemia
1308216-35205067|1308216|Lisinopril|35205067|Aortic valve stenosis
1308216-35909441|1308216|Lisinopril|35909441|Cholecystitis
1308216-35104397|1308216|Lisinopril|35104397|Myelodysplastic syndrome
1308216-35607485|1308216|Lisinopril|35607485|Visual impairment
1308216-36313585|1308216|Lisinopril|36313585|Hepatic enzyme increased
1308216-35104856|1308216|Lisinopril|35104856|Leukocytosis
1308216-36110555|1308216|Lisinopril|36110555|Localised infection
1308216-36919118|1308216|Lisinopril|36919118|Mental status changes
1308216-35607035|1308216|Lisinopril|35607035|Conjunctivitis infective
1308216-35104691|1308216|Lisinopril|35104691|Thrombocytopenia
1308216-35607265|1308216|Lisinopril|35607265|Eyelid ptosis
1308216-36316089|1308216|Lisinopril|36316089|Chest X-ray abnormal
1308216-35204912|1308216|Lisinopril|35204912|Bundle branch block right
1308216-36617644|1308216|Lisinopril|36617644|Ovarian cancer
1308216-36718422|1308216|Lisinopril|36718422|Dysphonia
1308216-37420510|1308216|Lisinopril|37420510|Bedridden
1308216-35707649|1308216|Lisinopril|35707649|Tooth disorder
1308216-35607050|1308216|Lisinopril|35607050|Corneal oedema
1308216-36718098|1308216|Lisinopril|36718098|Trigeminal neuralgia
1308216-35204963|1308216|Lisinopril|35204963|Supraventricular tachycardia
1308216-35205233|1308216|Lisinopril|35205233|Hepatic congestion
1308216-35104281|1308216|Lisinopril|35104281|Haemolytic anaemia
1308216-36516833|1308216|Lisinopril|36516833|Myositis
1308216-36516958|1308216|Lisinopril|36516958|Neck pain
1308216-35305538|1308216|Lisinopril|35305538|Ear malformation
1308216-35205383|1308216|Lisinopril|35205383|Cardiac tamponade
1308216-35809044|1308216|Lisinopril|35809044|Temperature regulation disorder
1308216-35104306|1308216|Lisinopril|35104306|Jaundice
1308216-36919231|1308216|Lisinopril|36919231|Intentional self-injury
1308216-37220041|1308216|Lisinopril|37220041|Pharyngeal disorder
1308216-35104688|1308216|Lisinopril|35104688|Heparin-induced thrombocytopenia
1308216-35406331|1308216|Lisinopril|35406331|Cerumen impaction
1308216-36516932|1308216|Lisinopril|36516932|Spinal deformity
1308216-35708739|1308216|Lisinopril|35708739|Tongue geographic
1308216-37119590|1308216|Lisinopril|37119590|Peyronie's disease
1308216-35406359|1308216|Lisinopril|35406359|Deafness
1308216-35708233|1308216|Lisinopril|35708233|Obstruction gastric
1308216-35406349|1308216|Lisinopril|35406349|Otitis externa
1308216-35506459|1308216|Lisinopril|35506459|Adrenal insufficiency
1308216-35506689|1308216|Lisinopril|35506689|Diabetes insipidus
1308216-36009799|1308216|Lisinopril|36009799|Autoimmune disorder
1308216-37019321|1308216|Lisinopril|37019321|Renal impairment
1308216-35506621|1308216|Lisinopril|35506621|Type 1 diabetes mellitus
1308216-35607078|1308216|Lisinopril|35607078|Uveitis
1308216-36009764|1308216|Lisinopril|36009764|Laryngeal oedema
1308216-36009851|1308216|Lisinopril|36009851|Pemphigus
1308216-36211197|1308216|Lisinopril|36211197|Maternal drugs affecting foetus
1308216-35909568|1308216|Lisinopril|35909568|Portal vein thrombosis
1308216-36211457|1308216|Lisinopril|36211457|Burns second degree
1308216-35708271|1308216|Lisinopril|35708271|Duodenal ulcer haemorrhage
1308216-36009850|1308216|Lisinopril|36009850|Pemphigoid
1308216-36211091|1308216|Lisinopril|36211091|Limb injury
1308216-36211297|1308216|Lisinopril|36211297|Fall
1308216-35707849|1308216|Lisinopril|35707849|Gastric haemorrhage
1308216-36313477|1308216|Lisinopril|36313477|White blood cell count increased
1308216-36110438|1308216|Lisinopril|36110438|Tinea pedis
1308216-35909445|1308216|Lisinopril|35909445|Cholelithiasis
1308216-36110386|1308216|Lisinopril|36110386|Onychomycosis
1308216-36211383|1308216|Lisinopril|36211383|Blister
1308216-37622484|1308216|Lisinopril|37622484|Capillary disorder
1308216-36009700|1308216|Lisinopril|36009700|Asthma
1308216-36718086|1308216|Lisinopril|36718086|Hypoglossal nerve disorder
1308216-37119643|1308216|Lisinopril|37119643|Oedema genital
1308216-35104746|1308216|Lisinopril|35104746|Lymphadenopathy
1308216-36110040|1308216|Lisinopril|36110040|Gangrene
1308216-35708323|1308216|Lisinopril|35708323|Peptic ulcer haemorrhage
1308216-35104165|1308216|Lisinopril|35104165|Disseminated intravascular coagulation
1308216-35707512|1308216|Lisinopril|35707512|Abdominal hernia
1308216-36617941|1308216|Lisinopril|36617941|Neoplasm skin
