"callret-0","drug","hoi"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10014735"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10006869"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10014744"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10014733"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10014768"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10014758"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10007063"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10007342"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10028993"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10014759"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10014743"
2,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10003694"
2,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10003704"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10015105"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10007506"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10007284"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10007423"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10026947"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10029402"
1,"http://purl.org/net/ohdsi#40224133","http://purl.bioontology.org/ontology/MEDDRA/10045242"
