FDA_PreferredTerm	FDA_UNII	RxNorm_CUI	DrugBank_Name	DrugBank_CUI	ChEBI_CUI
ALUMINUM CHLORIDE ANHYDROUS	LIF1N9568Y	46241	None	None	None
ETHYLENE-VINYL ACETATE COPOLYMER (19% VINYLACETATE)	JK6142KK4O	1312576	None	None	None
TEMODAL	YF1K15M17Y	261663	None	None	CHEBI_72564
OKT3	JGA39ICE2V	42405	None	None	None
LICORICE ROOT	61ZBX54883	1370435	None	None	None
RED PEPPER	6M47G7C4SY	1313692	None	None	None
GINSENG PREPARATION	CUQ3A77YXI	325526	None	None	None
PLEOSPORA BETAE	V58BK047ES	852756	None	None	None
EUCALYPTOL	RV6J6604TK	21116	None	None	CHEBI_27961
VANOS	2W4A77YPAN	543481	None	None	None
ACID BLUE 1	FH1929ICIT	32950	None	None	None
DEPOCYT	04079A1RDZ	196337	None	None	None
SODIUM NITROFERRICYANIDE	XN654NKH9W	9895	None	None	None
CITRUS MAXIMA LEAF EXTRACT	6U4626TKMH	1306208	None	None	None
ACID BLUE 9	H3R47K3TBD	1426460	None	None	None
BUTYL ACRYLATE/C16-C20 ALKYL METHACRYLATE/METHACRYLIC ACID/METHYL METHACRYLATE COPOLYMER	7K68DGG29P	1485121	None	None	None
TEMODAR	YF1K15M17Y	261663	None	None	CHEBI_72564
TOSYLCHLORAMIDE SODIUM	328AS34YM6	20762	None	None	None
2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE, 3,4-DIHYDRO-6-(TRIFLUOROMETHYL)-, 1,1-DIOXIDE	501CFL162R	5495	None	None	None
WATERCRESS	K5877MW0LE	1011418	None	None	None
FERROUS OXALATE	DZP4YV3ICV	236196	None	None	None
SOLANUM NIGRUM TOP	O4G5C1G3W5	1310217	None	None	None
CURCUMA AROMATICA ROOT OIL	Q68H9P4S4J	1482794	None	None	None
ROCEFIN	023Z5BR09K	9449	None	None	None
LEVOMILNACIPRAN HYDROCHLORIDE	371U2ZK31U	1433211	None	None	None
OXELADIN	SNC1080T5Y	32626	Oxeladin	DB04822	None
CORTICOTROPIN-RELEASING FACTOR	305OE8862Y	214461	None	None	None
TRIMETHYL DODECATRIENOL	EB41QIU6JL	1362903	None	None	None
MELISSA OFFICINALIS LEAF OIL	PTP6R7263M	1309328	None	None	None
NEISSERIA MENINGITIDIS GROUP C CAPSULAR POLYSACCHARIDE DIPHTHERIA TOXOID CONJUGATE ANTIGEN	2J57K2523T	797631	None	None	None
THYME PREPARATION	CW657OBU4N	319823	None	None	None
HESPERETIN LAURATE	HP864VLN2T	1366665	None	None	None
1H-IMIDAZOLE, 4-(2-ETHYL-2,3-DIHYDRO-1H-INDEN-2-YL)-	03N9U5JAF6	18475	None	None	None
LYME DISEASE SPIROCHETE	0J8NV9V5Q8	1426882	None	None	None
THIAMYLAL SODIUM	T4L2P3KH7K	203201	None	None	None
OFORTA	1X9VK9O1SC	877487	None	None	None
FLUPREDNIDENE	FA517NS3N7	236650	None	None	None
OMEGA 3 FATTY ACIDS	71M78END5S	4301	None	None	None
TETRAHYDROFURFURYL SALICYLATE	4KUH7HZ54V	237144	None	None	None
SILICA DIMETHYL SILYLATE	EU2PSP0G0W	1426646	None	None	None
PORACTANT ALFA	KE3U2023NP	236381	None	None	None
ARNICA CORDIFOLIA FLOWER	JCG1OSZ7A8	1307964	None	None	None
CAMELLIA JAPONICA FLOWER EXTRACT	KUB8101TNF	1307547	None	None	None
BIMATOPROST	QXS94885MZ	283810	Bimatoprost	DB00905	CHEBI_51230
OCTOXYNOL 5	TJ327E1R1V	1426398	None	None	None
ALLERGENIC EXTRACT, RED ALDER	Z0F2YK1B7H	314441	None	None	None
PAEONIA SUFFRUTICOSA ROOT BARK	BUG255FE7X	1307729	None	None	None
BORDETELLA PERTUSSIS TOXOID ANTIGEN (FORMALDEHYDE, GLUTARALDEHYDE INACTIVATED)	QSN5XO8ZSU	1300186	None	None	None
EPOCH	64FS3BFH5W	1039674	None	None	None
WATERMELON	231473QB6R	260014	None	None	None
MIDODRINE	6YE7PBM15H	6963	None	None	CHEBI_6933
ELDOPAQUE FORTE	XV74C1N1AE	216871	None	None	None
ALPHAPRODINE	001O2254AC	594	None	None	None
ADANSONIA DIGITATA LEAF	G75S8RQS56	1428848	None	None	None
METHAPYRILENE	A01LX40298	6822	None	None	None
ZANAFLEX	B53E3NMY5C	153736	None	None	None
ETOGLUCID	4F9KUA0T4D	4132	None	None	None
VINDESINE	RSA8KO39WH	11204	None	None	None
PHENOTHRIN	707484X33X	33303	None	None	None
ARGANIA SPINOSA WHOLE	83K6O4FR76	1482541	None	None	None
